question,answer
"How do I reset my mobile banking password?","To reset your password, open the NeoBank app, tap 'Forgot Password' on the login screen, and verify your identity using the OTP sent to your registered mobile number."
"What is the daily withdrawal limit for the Gold Debit Card?","The daily ATM withdrawal limit for the Gold Debit Card is $2,000. Point-of-sale transaction limit is $5,000 per day."
"Are there fees for using my card internationally?","Yes, a foreign transaction fee of 2% applies to all international purchases. However, Platinum cardholders are exempt from this fee."
"I lost my credit card. What should I do?","Immediately block your card via the mobile app under 'Card Settings' or call our 24/7 fraud hotline at 1-800-NEO-BANK. We will issue a replacement within 3-5 business days."
"What is the interest rate on the Savings Plus account?","The Savings Plus account currently offers an Annual Percentage Yield (APY) of 3.5%, calculated daily and paid monthly. This rate is subject to change based on market conditions."
"How can I dispute a transaction?","You can dispute a transaction by selecting it in your transaction history on the app and clicking 'Report Issue'. Alternatively, email support@neobank.com with your account details."
"Do you offer home loans?","Yes, we offer fixed and variable rate home loans. Current variable rates start at 5.5% p.a. You can apply directly through our website."
"What are the eligibility criteria for a Personal Loan?","To be eligible for a personal loan, you must be over 18, a resident citizen, have a credit score of 650+, and have a regular income of at least $30,000 per year."
"How do I update my mailing address?","Log in to online banking, go to 'Profile & Settings', select 'Personal Details', and update your address. You may need to upload a proof of address document."
"Is my money safe with NeoBank?","Yes, all deposits are insured up to $250,000 by the FDIC. We also use 256-bit encryption to protect your digital data."
